Healthy	Unhealthy	Background
61,125,29	210,197,142	10,8,9
81,141,45	121,87,49	9,8,6
81,141,45	124,89,51	9,8,4
84,141,46	126,91,51	9,8,4
77,143,46	113,81,43	4,12,15
76,141,47	110,80,44	6,11,15
78,145,52	106,76,40	6,11,15
65,119,41	119,105,34	4,9,13
63,118,37	118,103,34	5,10,13
61,116,33	117,104,34	12,13,15
78,136,49	132,105,62	14,13,18
76,134,49	133,106,61	14,15,19
71,129,44	135,106,62	13,14,18
88,153,53	216,201,160	12,13,17
84,152,51	212,197,154	5,9,10
80,148,47	216,195,152	6,7,9
77,143,46	219,207,125	5,9,10
75,142,47	225,210,129	5,11,11
78,145,50	224,211,132	3,11,13
74,135,42	202,188,100	12,11,9
67,131,37	203,189,101	11,10,8
62,126,32	202,191,102	12,8,5
80,140,44	211,199,141	9,8,3
80,140,44	211,196,137	9,8,4
82,139,44	208,193,126	4,12,15
78,144,47	215,197,125	6,11,17
77,142,48	213,195,121	6,11,17
78,145,52	212,193,116	3,11,14
68,121,43	125,106,37	3,11,14
65,120,39	123,106,37	12,13,15
62,117,34	122,105,36	16,16,16
76,134,47	134,107,64	17,17,17
74,132,47	135,108,65	17,17,17
71,129,44	136,107,65	15,17,16
88,153,53	217,202,163	6,10,11
85,153,52	220,205,164	6,7,9
80,148,47	219,197,156	5,9,10
76,142,45	221,209,127	6,12,12
74,141,46	225,210,129	3,11,13
75,142,47	224,211,132	14,13,11
74,133,41	201,187,98	13,12,10
69,130,37	202,188,99	14,10,7
65,126,33	201,190,100	11,10,5
92,158,52	211,199,141	10,9,5
100,163,59	212,197,138	4,12,15
112,174,73	209,194,127	6,11,17
87,157,61	216,197,128	6,11,17
87,154,57	213,195,121	4,12,15
88,154,57	211,192,115	4,12,15
85,151,54	130,111,42	14,14,16
93,158,68	128,109,40	15,15,15
99,162,73	125,108,39	17,17,17
92,151,67	134,110,66	19,19,19
95,154,72	136,109,66	19,19,19
93,155,72	136,109,66	7,11,10
67,134,39	221,207,168	8,10,9
68,135,40	219,206,164	6,10,11
72,137,45	219,202,159	4,12,14
84,143,49	223,211,129	3,11,13
85,145,49	224,212,130	14,13,9
88,148,50	224,211,132	15,14,10
68,120,46	202,187,94	15,14,10
73,125,51	202,187,94	14,13,9
79,133,58	202,189,95	12,13,8
98,161,56	212,197,140	3,12,17
102,163,60	213,197,138	3,12,19
104,166,67	210,195,130	3,12,19
90,157,64	215,198,128	3,13,14
88,153,59	212,194,120	4,12,15
87,152,58	211,192,113	16,15,20
85,151,54	157,154,101	16,16,16
88,153,63	156,153,100	18,18,18
96,159,70	156,153,100	20,20,20
93,152,70	206,197,118	21,21,21
98,157,77	206,197,118	11,11,9
96,155,75	207,198,119	8,10,7
69,136,39	210,195,112	8,10,7
70,136,39	212,197,116	9,9,7
69,133,37	215,198,118	9,9,7
85,145,49	173,149,85	16,17,12
84,144,46	186,164,107	18,18,16
85,145,45	200,177,127	19,20,15
77,129,54	131,92,59	18,19,14
86,138,64	133,95,56	17,17,15
87,140,68	135,97,52	12,12,10
100,163,59	221,209,137	10,10,8
102,163,60	222,210,138	8,8,6
104,166,67	225,211,138	8,8,6
88,155,62	193,192,99	7,7,5
88,153,59	191,190,97	22,21,17
87,152,58	193,192,99	21,21,19
84,150,53	155,152,99	21,22,17
90,154,67	157,154,101	20,21,16
92,154,68	156,153,100	19,19,17
90,149,67	204,196,115	13,14,9
95,154,74	204,196,115	11,11,9
93,152,72	206,197,118	10,9,7
71,138,41	211,196,113	7,7,7
70,136,39	213,198,117	7,7,7
67,131,35	214,197,117	28,25,20
87,147,51	176,148,83	26,25,20
85,145,47	185,158,103	25,24,19
84,144,44	197,171,122	21,22,16
85,137,62	129,91,55	19,20,15
95,147,75	129,94,54	14,15,10
90,143,71	134,97,52	11,11,9
58,103,38	220,208,136	10,9,7
52,97,30	219,207,135	7,7,7
47,92,27	221,207,134	6,6,6
67,132,38	191,190,97	32,29,24
68,133,43	189,188,95	29,28,23
69,132,43	194,193,100	27,26,21
80,139,73	155,154,98	22,23,17
81,141,79	157,156,100	19,20,15
85,145,85	158,156,99	16,15,11
79,136,67	202,194,111	13,13,11
81,134,66	206,195,113	11,11,9
78,131,63	209,198,116	8,8,6
87,140,62	211,194,112	8,8,8
86,140,64	213,196,114	33,30,25
87,141,65	214,197,115	33,30,25
66,138,39	175,147,82	28,27,22
68,139,45	184,158,101	24,23,18
69,137,50	193,167,116	21,20,16
71,139,28	128,95,54	52,49,40
72,142,30	130,97,52	41,41,33
71,141,29	135,103,54	34,35,27
76,132,57	217,207,135	26,27,22
78,134,59	217,205,131	21,23,18
79,135,60	218,204,129	56,53,46
58,103,38	193,192,99	47,47,37
52,97,32	192,191,98	40,42,31
49,91,27	197,194,101	33,32,28
66,133,38	224,199,158	28,29,24
68,135,42	224,199,158	57,54,47
67,134,41	225,201,157	54,51,44
80,137,69	212,200,158	47,47,39
76,135,71	214,201,157	40,39,34
85,144,80	212,199,155	36,37,29
80,137,69	96,89,37	54,49,45
90,142,76	100,93,41	56,51,45
94,146,80	101,96,41	53,50,43
87,140,60	225,200,159	49,44,40
87,140,60	224,199,158	46,43,36
87,141,63	224,200,156	52,44,42
67,139,37	214,202,162	56,49,43
67,138,42	215,201,162	60,51,44
69,138,49	214,200,161	53,49,40
76,144,33	96,88,41	51,47,36
75,143,32	101,94,42	19,24,18
78,146,35	100,97,42	16,23,16
74,132,56	225,200,159	15,22,15
77,133,58	225,200,159	11,20,15
77,133,58	224,199,158	9,20,14
56,101,36	216,202,163	19,24,18
51,96,31	216,202,163	23,30,23
50,92,28	216,202,163	24,31,24
71,138,43	93,87,39	20,29,24
70,137,44	98,92,42	14,25,19
69,136,43	97,96,42	23,29,25
85,142,74	195,170,113	31,38,31
80,139,75	198,173,117	35,45,37
84,143,79	194,169,113	26,37,29
84,136,72	192,170,112	15,26,20
96,146,83	195,171,111	27,33,29
111,161,98	193,169,109	35,42,35
88,141,61	190,168,108	35,45,37
89,142,64	193,169,109	24,35,27
86,140,64	193,169,109	13,24,18
66,138,36	167,129,150	27,32,26
66,138,38	153,120,141	25,31,27
69,138,45	145,112,133	26,32,28
81,149,38	121,88,119	16,25,20
81,148,42	123,90,119	10,19,14
84,151,45	122,93,115	19,19,21
73,131,55	219,213,179	19,19,21
76,132,57	220,214,180	16,16,18
79,135,60	222,213,180	13,13,15
84,148,51	160,124,112	11,11,13
83,149,51	161,122,115	17,17,19
82,148,48	156,119,113	18,18,20
100,160,60	150,137,93	16,16,18
100,162,63	150,137,93	14,14,16
99,164,64	145,132,88	12,12,14
73,140,45	111,91,93	13,14,18
75,142,49	113,93,95	16,16,18
76,143,50	112,89,95	15,15,17
76,138,53	212,203,174	14,14,16
70,136,46	212,206,174	12,12,14
67,136,43	215,206,177	11,12,16
66,105,50	173,161,135	14,14,16
64,103,46	175,163,139	15,15,17
65,104,47	178,166,144	14,14,16
47,109,23	154,119,139	12,12,14
48,108,20	148,115,132	9,13,16
44,104,16	143,110,129	13,12,17
81,147,47	124,89,121	14,14,16
81,147,47	121,87,114	14,14,16
82,148,48	118,89,111	13,13,15
100,160,62	219,214,182	7,8,10
98,160,61	220,214,182	9,10,12
95,160,60	222,216,184	11,11,11
72,139,44	154,122,109	12,12,12
73,140,45	157,123,114	15,15,15
76,143,48	158,123,119	8,9,11
74,138,51	147,134,89	9,10,14
71,137,47	147,134,90	11,11,13
70,139,46	145,130,87	12,12,12
67,106,51	112,94,94	14,14,16
66,105,48	111,92,94	6,10,11
68,107,50	109,90,92	6,10,11
48,110,24	212,201,169	7,11,12
48,108,22	211,202,169	9,10,12
44,102,17	214,203,173	10,11,13
80,146,46	173,159,132	52,128,190
80,146,46	177,163,137	54,128,191
82,148,48	180,165,142	56,130,193
102,162,64	149,114,134	48,128,189
98,158,60	146,113,130	45,126,189
95,160,60	142,109,128	51,121,193
73,140,45	128,93,125	50,117,188
78,145,50	131,97,124	50,114,188
79,146,51	128,96,119	50,114,186
75,139,52	223,218,186	51,115,186
74,140,50	222,216,184	66,122,207
73,142,49	220,214,182	60,120,206
70,109,54	155,123,112	63,123,211
66,105,48	156,122,113	63,122,216
68,107,50	156,123,118	61,120,212
51,110,26	143,130,85	66,122,207
48,106,21	142,129,85	60,120,206
43,101,16	142,127,84	63,123,211
83,147,60	111,93,93	63,122,216
77,142,52	110,91,93	61,120,212
76,141,49	108,89,91	50,114,202
87,126,59	211,200,168	48,113,203
83,124,56	212,203,170	48,115,206
83,124,58	213,202,172	48,117,208
84,146,49	174,160,134	46,115,206
95,154,60	173,158,135	51,129,193
104,163,73	170,155,132	52,130,194
70,127,48	191,185,109	54,132,196
69,126,47	191,183,108	50,131,194
66,123,44	190,182,107	46,130,192
76,137,57	205,196,129	53,123,195
77,139,56	202,195,127	53,120,191
75,139,53	205,195,124	52,116,190
51,109,35	141,130,76	52,116,188
57,112,44	134,121,69	51,115,186
60,116,45	128,112,63	76,130,216
78,135,54	134,122,72	76,132,217
80,134,56	139,126,74	69,127,211
78,132,54	142,126,75	69,124,214
84,148,61	203,177,142	69,124,214
79,144,52	206,182,146	76,130,216
77,142,50	213,189,153	76,132,217
90,129,64	177,163,134	69,127,211
86,127,61	182,169,137	69,124,214
90,130,67	188,174,137	69,124,214
85,147,46	180,175,93	55,116,205
89,151,54	177,172,88	52,116,204
94,153,59	173,169,82	52,117,207
68,125,44	194,188,112	49,118,209
68,125,46	193,185,110	46,115,206
69,126,47	192,184,109	51,132,197
74,136,53	202,195,127	53,132,198
73,137,51	201,194,126	53,132,198
77,141,55	200,193,125	49,135,196
47,105,31	130,117,64	46,134,197
52,108,37	129,116,64	54,122,195
58,114,43	128,115,63	56,124,197
82,139,60	134,122,72	53,120,191
79,133,55	137,124,72	52,116,187
78,135,56	141,125,73	55,120,186
83,147,60	209,183,148	87,142,224
79,144,52	216,192,156	85,140,223
77,142,50	220,196,160	76,132,215
85,124,61	174,159,130	76,128,212
90,130,67	179,164,133	76,128,212
100,140,78	187,171,135	87,142,224
83,146,41	181,175,89	85,140,223
83,145,44	178,173,82	76,132,215
86,146,50	173,168,77	76,128,212
68,125,44	196,190,114	76,128,212
69,126,47	193,187,109	61,121,207
72,129,50	191,184,104	58,122,209
80,142,59	201,193,128	56,122,209
80,144,58	206,198,133	53,120,207
79,143,57	207,199,136	46,116,204
48,106,32	121,108,55	55,136,201
51,107,36	122,109,57	55,136,201
58,114,43	123,110,58	54,135,200
85,142,63	133,123,72	52,138,199
83,137,59	137,125,73	49,137,200
81,138,59	141,128,75	53,121,194
60,119,35	211,185,150	52,120,193
59,117,33	218,194,158	51,118,189
56,114,30	221,197,161	54,118,189
62,121,27	174,159,130	59,124,190
60,122,25	178,163,132	87,138,221
60,122,21	186,170,134	81,132,215
61,125,38	179,173,85	80,133,213
63,127,41	176,171,80	85,133,215
63,127,40	174,169,78	82,130,214
49,102,20	147,112,118	87,138,221
49,103,19	146,112,113	81,132,215
51,106,23	144,111,106	80,133,213
70,131,51	202,174,160	85,133,215
73,132,52	199,169,158	82,130,214
73,130,51	190,161,153	65,125,211
48,108,22	163,132,88	65,126,209
46,108,23	170,139,92	60,125,209
44,108,22	175,145,95	55,122,209
68,130,44	180,171,92	48,118,206
70,132,46	177,170,89	52,136,200
72,131,47	183,178,97	57,141,205
56,118,32	204,197,125	56,141,205
56,116,30	202,199,128	56,142,203
53,113,27	201,200,133	54,140,201
62,119,25	128,91,72	49,117,190
62,122,26	135,103,78	48,118,190
63,125,26	131,105,72	48,115,186
65,127,42	118,105,60	54,118,189
65,127,42	118,103,60	61,126,192
67,131,45	118,100,62	80,129,208
49,104,21	144,110,111	77,126,205
50,104,20	146,110,110	84,133,212
52,105,23	148,113,107	95,142,220
64,127,48	199,172,155	90,137,219
71,132,54	194,165,151	80,129,208
74,135,57	183,154,146	77,126,205
48,110,25	167,136,92	84,133,212
47,109,24	169,141,94	95,142,220
47,109,24	174,146,98	90,137,219
69,132,43	180,168,92	68,129,210
69,128,44	181,170,91	71,132,213
75,134,52	182,173,94	73,136,216
51,113,27	204,197,125	61,127,211
53,113,27	202,199,130	53,123,209
54,114,28	200,199,134	54,128,189
63,120,26	128,94,69	45,123,189
60,120,24	140,110,82	39,119,188
60,122,23	135,111,77	38,118,191
66,128,43	117,104,59	36,116,189
70,132,49	117,102,61	73,141,212
71,135,49	116,98,62	78,148,217
51,106,23	134,100,99	76,149,217
51,105,21	142,107,105	73,146,214
52,105,23	149,114,108	74,147,215
63,126,47	197,172,150	40,122,198
70,131,53	194,169,149	40,122,198
74,135,57	185,157,145	42,124,200
48,110,25	164,135,93	44,127,203
47,109,24	170,143,96	44,130,205
46,108,23	177,149,101	39,122,192
69,132,43	177,165,89	50,130,201
71,130,46	180,169,90	57,136,205
76,135,53	182,173,94	54,137,207
111,167,76	203,199,128	57,140,210
109,169,79	202,199,132	56,109,177
108,168,78	200,199,134	51,105,177
104,159,76	130,96,69	44,102,175
103,158,77	142,113,83	41,105,176
103,158,77	137,113,77	48,108,178
101,156,75	119,104,61	53,129,191
101,156,75	118,103,62	44,123,190
98,156,72	118,100,64	39,119,190
83,147,51	139,140,122	37,117,190
83,148,48	148,149,131	35,114,189
90,154,57	152,154,133	72,141,216
83,144,64	180,159,114	77,149,221
81,143,60	179,157,107	77,151,222
83,145,62	169,149,96	70,147,217
66,127,34	226,211,172	71,148,218
63,128,36	211,196,155	40,121,200
57,122,32	199,182,139	39,121,197
88,150,64	214,199,158	44,126,202
92,151,67	213,200,158	46,128,204
94,153,69	215,201,162	44,127,203
111,167,76	138,114,88	44,124,195
107,166,74	136,112,84	54,132,204
109,168,76	139,113,86	57,136,205
102,160,76	182,185,104	52,134,207
102,160,76	180,183,102	52,135,205
104,159,76	181,185,101	49,102,170
103,158,77	187,176,84	48,102,174
97,155,71	186,175,83	45,103,176
93,151,66	186,177,84	37,101,172
83,147,51	140,141,123	42,102,172
88,150,53	145,146,128	50,130,193
92,153,58	147,149,128	45,126,192
81,143,58	179,158,111	38,121,191
82,144,61	175,157,107	34,118,188
86,148,65	168,151,99	33,115,188
65,125,35	224,209,170	72,144,220
60,125,31	218,203,162	72,149,221
58,123,31	212,195,152	73,151,223
89,151,66	213,198,157	66,144,216
87,151,67	212,199,157	67,145,217
89,151,68	215,201,162	40,121,200
115,170,79	137,114,83	40,123,199
111,170,78	136,113,81	43,125,199
110,169,77	139,114,83	44,126,200
101,159,75	178,182,97	40,126,199
102,160,76	174,178,93	51,129,203
105,160,77	174,178,91	60,137,209
106,161,80	186,173,81	61,138,210
100,158,74	184,173,83	51,133,206
95,153,68	187,176,86	47,131,203
84,148,52	144,143,123	51,101,170
88,150,53	146,145,124	44,98,168
91,152,57	145,144,123	42,99,170
78,140,55	178,157,110	37,100,169
82,144,61	176,158,108	39,98,168
91,153,70	170,154,103	50,129,195
64,124,34	222,207,168	47,128,194
59,124,30	223,208,169	40,123,193
57,122,30	222,205,162	35,119,189
92,154,69	214,199,158	34,116,189
86,149,68	214,199,158	69,140,218
86,147,67	216,201,162	70,146,221
98,162,66	136,113,82	70,148,222
104,163,71	138,115,83	63,142,217
110,166,75	139,114,83	61,140,215
90,151,74	177,181,96	38,119,200
90,151,74	172,176,91	36,119,195
89,150,72	171,175,88	39,121,195
90,142,67	183,167,80	43,125,199
90,144,68	185,171,83	43,129,202
91,145,69	187,176,87	52,130,204
94,152,68	201,205,110	59,136,208
93,151,66	201,205,108	61,138,210
94,152,68	200,204,109	51,133,207
78,146,35	194,165,97	44,128,200
77,145,32	194,165,97	53,103,172
80,148,37	192,162,98	46,100,170
63,135,33	188,182,88	44,101,172
63,136,31	189,182,91	40,100,170
63,134,28	190,183,93	37,96,166
99,160,65	136,123,88	48,129,194
105,166,73	135,123,85	44,127,195
100,159,65	138,129,86	39,123,193
88,149,71	205,203,118	32,119,188
91,149,72	200,203,116	32,116,186
90,148,71	199,202,113	65,141,217
92,144,70	93,80,64	65,141,216
93,145,71	90,74,59	61,139,213
94,146,72	90,73,57	59,138,213
95,150,67	166,167,151	56,135,212
95,150,67	162,163,147	37,118,197
94,152,68	160,161,145	36,119,195
77,145,34	199,203,108	38,122,195
77,145,34	201,205,108	40,124,197
80,148,39	200,204,109	42,125,201
64,137,30	195,164,97	47,125,200
66,139,32	196,167,101	52,128,203
65,138,31	195,165,103	54,132,206
96,157,62	183,177,83	51,130,207
99,160,67	189,183,87	45,129,202
94,153,59	194,187,96	51,100,167
88,149,71	140,130,94	49,102,170
91,149,72	142,134,95	48,102,172
90,148,71	150,143,101	40,100,170
92,144,70	204,204,114	39,96,167
93,145,71	202,205,114	43,89,164
95,147,73	199,204,112	39,87,163
97,152,71	93,80,64	38,86,162
95,150,67	91,75,60	42,90,164
94,152,68	93,77,61	49,97,169
80,146,36	148,149,135	54,139,196
80,146,36	148,150,136	51,136,191
82,148,40	148,152,137	52,138,197
64,137,30	197,201,107	46,136,196
66,139,32	199,203,108	40,133,194
65,138,31	200,204,110	71,138,193
77,139,56	196,166,94	63,135,194
80,139,59	197,166,101	41,113,172
78,140,55	198,166,107	33,107,168
60,128,29	185,178,87	36,110,173
58,125,28	187,181,85	60,154,215
55,122,25	190,184,90	61,157,215
90,157,62	141,133,96	65,160,218
92,157,63	150,142,103	67,160,219
91,156,64	156,151,109	62,157,215
86,150,54	205,205,115	57,151,215
88,152,58	201,204,113	56,151,215
93,154,59	202,207,113	56,152,213
54,118,24	103,94,77	56,154,219
60,120,30	98,86,70	49,148,213
65,125,35	97,84,67	41,87,162
65,138,33	132,130,115	38,85,163
69,139,41	136,139,122	37,84,162
76,145,52	140,144,129	44,92,168
72,130,53	108,93,90	46,94,168
70,129,49	110,92,90	56,141,198
68,127,45	115,95,94	51,137,194
80,139,57	195,176,134	49,135,196
81,140,60	199,180,140	42,132,192
85,144,62	198,180,142	39,132,193
56,127,25	184,161,109	94,159,213
54,124,25	177,154,102	73,145,204
54,124,25	175,152,102	46,118,177
96,161,69	135,106,100	37,111,172
98,161,70	148,119,113	38,112,175
99,164,74	149,120,112	60,153,214
87,151,54	160,165,107	64,159,217
92,153,58	165,170,114	69,162,219
92,153,58	166,169,114	68,159,216
50,115,21	184,188,114	64,157,214
56,120,26	183,185,110	54,147,214
57,122,28	182,185,106	54,149,213
65,138,33	178,173,81	53,149,210
70,140,42	178,174,83	52,150,215
73,140,47	181,177,90	48,147,212
71,132,52	112,96,96	38,86,162
72,131,49	112,94,94	36,83,163
68,130,44	112,92,91	38,87,164
84,143,63	196,175,130	40,89,165
87,145,68	197,176,133	43,93,166
94,153,73	195,176,136	53,139,196
56,127,25	182,159,107	51,140,198
54,124,25	175,152,100	47,137,197
55,125,26	172,149,99	40,130,192
100,163,74	132,102,92	38,128,190
99,162,73	138,110,99	76,141,197
101,163,77	139,111,99	64,136,195
89,153,56	163,167,108	48,123,181
94,154,58	162,165,108	42,116,177
94,153,59	156,159,102	39,114,179
53,117,23	179,187,112	62,155,214
53,118,24	183,190,113	70,161,218
54,119,25	183,187,110	75,161,218
66,138,36	183,176,86	74,159,214
68,138,40	185,179,91	74,161,215
71,138,45	185,179,91	52,147,213
75,137,54	116,100,100	55,150,214
73,132,50	111,93,93	57,151,213
69,131,45	110,90,89	52,148,209
79,139,51	191,170,125	49,147,208
87,145,61	191,170,127	36,84,160
89,148,64	191,172,132	37,84,164
64,122,38	180,157,105	38,87,166
66,123,44	171,148,98	41,90,167
67,124,45	167,144,94	42,91,167
102,163,60	135,105,94	53,139,196
100,161,57	135,107,95	49,139,199
98,159,55	134,106,92	47,137,199
90,157,52	167,168,108	43,133,195
88,157,50	164,165,105	41,131,193
85,157,47	159,160,100	55,121,179
92,152,64	179,187,112	51,123,182
93,153,67	183,190,113	43,118,176
90,150,62	184,188,111	42,116,177
90,150,62	185,178,88	41,116,181
90,150,62	185,179,91	72,161,219
89,151,65	185,179,91	77,163,220
98,152,74	214,193,84	82,163,218
95,149,73	214,193,84	88,168,221
92,149,72	215,194,85	91,172,225
79,139,53	200,202,129	50,145,211
87,144,63	198,200,127	53,148,212
92,149,68	196,198,125	56,150,212
64,119,38	195,193,110	58,154,215
66,120,42	192,187,103	55,153,214
68,122,46	188,182,98	35,82,160
100,162,55	197,199,134	39,86,164
97,159,50	198,201,134	39,88,165
101,160,52	198,200,135	37,89,165
92,159,53	185,158,103	41,94,170
88,157,50	182,157,100	58,145,199
86,158,50	183,158,101	48,141,200
89,149,59	214,196,94	42,135,194
88,151,62	214,197,93	45,135,195
88,151,60	214,197,93	48,137,197
92,152,64	214,196,88	48,116,177
91,154,65	214,196,88	43,118,176
93,156,67	215,194,87	45,119,180
98,153,72	200,202,129	42,118,180
94,148,70	200,202,129	36,114,178
97,151,73	201,202,132	77,162,217
80,138,53	203,198,116	83,164,219
87,142,61	200,194,110	90,166,218
91,148,67	195,187,104	99,173,222
65,120,39	198,201,134	108,184,233
67,121,46	198,201,134	49,148,213
68,122,47	199,202,135	54,149,213
100,162,55	185,160,104	58,152,213
98,160,51	188,163,107	61,157,217
101,160,52	188,163,107	61,160,219
92,159,53	215,197,95	33,120,200
89,158,51	215,197,95	43,126,204
87,159,51	212,198,93	49,132,208
87,147,57	215,197,89	48,131,207
86,149,60	214,196,88	47,133,208
86,149,58	214,193,86	50,101,166
96,156,68	197,199,126	43,98,165
97,160,71	201,202,132	40,94,166
96,159,70	206,207,139	43,97,169
97,152,71	203,198,114	46,100,172
96,150,72	202,196,112	51,125,200
99,153,75	198,190,107	64,138,213
101,161,71	197,200,131	72,145,214
106,161,78	201,204,137	71,143,215
106,159,77	203,206,139	65,134,211
102,163,86	189,164,108	48,93,152
106,164,88	190,165,111	44,90,149
110,168,92	190,165,111	38,87,146
93,156,65	215,197,97	35,85,146
96,156,66	214,196,96	33,84,147
95,156,63	211,196,93	32,119,199
76,134,49	175,152,138	43,126,204
74,129,45	178,155,141	51,134,210
74,130,43	172,146,131	52,135,211
84,146,47	143,109,84	46,132,207
82,147,47	145,111,84	51,102,168
83,147,50	151,118,87	45,99,169
66,134,21	168,147,142	43,97,169
64,132,21	174,150,146	48,102,174
62,130,21	171,146,141	53,107,177
72,142,30	189,155,130	60,130,202
75,145,31	190,156,131	71,141,213
78,148,34	181,150,122	84,153,220
98,158,70	198,173,133	84,151,221
104,158,72	195,171,133	74,138,212
102,158,71	194,170,132	44,89,148
105,165,91	120,121,107	40,86,146
109,167,93	132,130,117	37,86,145
114,172,98	143,140,125	33,83,144
93,153,65	164,138,103	32,82,145
94,154,66	171,145,108	32,124,201
97,157,67	183,158,118	42,129,206
77,132,49	179,156,140	47,134,211
74,128,44	182,159,143	47,134,211
74,128,42	171,148,130	42,129,206
86,148,49	148,114,89	50,101,167
86,148,49	146,112,85	44,98,168
87,149,50	146,112,84	43,100,171
66,136,20	173,154,148	54,108,178
64,134,20	176,155,150	63,116,184
64,132,19	172,149,143	64,132,203
74,144,32	189,155,128	79,149,219
77,145,32	188,154,127	95,160,226
78,146,33	184,153,124	95,159,223
97,157,71	195,171,133	94,155,222
105,159,73	193,169,131	45,87,145
102,158,71	191,167,129	42,87,144
105,165,91	125,123,110	41,87,146
109,167,93	130,128,113	36,85,144
116,174,100	138,135,120	32,82,143
94,154,68	165,141,107	35,125,201
95,155,69	177,153,115	41,128,205
96,156,68	188,165,124	44,131,208
80,135,52	174,151,135	43,130,207
77,130,48	174,151,135	40,127,204
74,128,44	169,146,128	50,100,169
87,149,52	159,124,104	44,98,170
87,149,50	156,121,99	42,99,170
87,149,50	150,116,89	55,109,179
67,137,21	176,155,150	71,124,190
64,134,20	175,151,147	61,128,198
65,133,20	171,148,142	76,145,214
76,144,33	190,156,129	97,158,223
73,141,28	189,155,128	100,158,221
74,142,29	184,153,124	110,165,230
80,137,56	190,166,128	45,85,144
83,140,61	189,165,127	46,88,146
91,145,69	188,164,126	44,89,148
58,123,43	124,122,109	37,83,143
54,117,36	128,126,111	32,78,140
56,120,36	131,128,113	43,131,203
75,142,37	163,138,107	42,130,204
80,147,42	179,155,119	42,130,204
83,148,46	189,167,128	39,126,203
86,145,53	140,106,107	35,125,203
84,140,49	136,100,104	52,102,171
84,140,51	136,100,104	47,99,172
68,127,33	139,103,103	44,98,170
69,130,37	143,107,107	55,108,176
68,131,40	146,110,110	71,122,185
60,121,43	126,99,92	68,133,201
62,121,41	131,103,99	67,134,202
65,124,44	135,107,103	87,149,210
79,141,56	199,195,108	99,153,215
80,139,57	197,192,108	113,163,224
87,144,65	196,190,106	43,84,140
60,123,44	186,172,83	46,89,144
55,118,37	185,172,80	46,88,146
56,120,36	190,179,90	39,81,141
76,143,38	193,183,86	34,76,136
79,146,41	193,184,91	30,62,145
83,148,46	195,186,95	27,59,142
82,141,51	208,199,108	28,60,143
84,140,51	207,200,112	29,60,143
89,145,58	206,199,111	30,58,142
67,126,32	139,103,107	44,74,147
65,126,33	135,99,103	48,78,150
64,127,36	136,102,103	53,82,150
64,127,46	140,101,102	56,83,150
64,125,45	143,104,105	48,75,142
65,126,46	144,108,108	120,146,207
81,143,58	124,99,94	92,120,183
80,139,57	133,105,102	75,106,171
86,143,64	135,107,104	59,92,159
59,122,43	199,195,108	56,91,155
55,118,37	194,189,105	66,114,186
55,119,35	191,186,102	63,111,183
77,144,39	188,174,85	60,108,182
79,146,43	185,174,84	61,109,185
84,149,47	191,180,91	61,110,187
82,141,51	195,185,88	38,83,168
84,140,51	194,185,94	41,86,169
92,147,63	197,187,98	47,92,173
63,124,29	206,197,104	51,93,175
62,123,28	206,199,109	51,93,175
61,125,31	205,198,110	30,62,147
69,132,51	136,100,104	28,60,145
67,128,48	134,98,102	28,60,145
67,128,48	137,103,104	33,63,149
94,154,58	140,101,102	33,61,145
93,155,58	141,102,103	48,78,151
91,155,59	143,107,107	47,77,149
82,142,54	123,98,93	53,82,150
79,142,53	131,103,100	56,83,150
79,144,54	136,108,105	46,71,138
98,151,83	198,194,107	111,137,198
93,146,76	196,191,107	91,119,182
87,141,66	196,191,107	80,111,176
87,147,61	192,178,90	66,99,166
85,145,59	189,178,88	68,103,167
83,143,53	191,180,91	62,110,182
53,112,30	196,186,89	60,108,180
50,112,29	196,187,96	61,109,183
49,112,31	198,188,99	65,113,189
81,141,53	205,196,103	65,112,190
82,142,52	205,198,108	40,82,168
83,143,53	205,198,110	40,85,168
79,141,58	210,199,117	46,91,172
84,143,63	213,204,125	53,95,177
83,142,62	220,211,132	51,92,172
96,155,61	212,200,124	28,60,145
91,152,57	214,202,126	29,61,146
91,155,59	213,201,125	31,62,145
87,147,59	195,189,95	31,62,144
81,144,55	193,188,94	34,62,145
80,145,55	193,188,94	48,80,153
98,151,83	180,170,117	45,75,147
92,145,73	179,168,112	46,75,145
85,139,63	180,169,113	48,73,140
87,147,61	179,167,95	40,63,131
86,146,60	177,167,95	84,113,171
88,148,60	175,166,91	85,115,175
50,114,27	209,195,132	87,119,180
51,113,28	214,199,140	82,116,179
52,114,29	213,201,141	79,115,177
83,143,57	208,199,120	63,110,180
85,145,57	213,204,127	70,117,187
83,143,53	219,212,134	73,120,192
81,140,58	209,200,123	71,117,192
86,145,65	211,202,125	65,111,188
85,144,64	209,200,123	43,83,170
97,153,64	194,190,91	42,84,168
94,153,61	195,190,96	46,88,172
92,153,58	195,190,98	49,90,172
85,148,59	184,174,123	48,89,169
82,147,57	182,173,116	28,60,145
80,145,55	183,172,116	29,61,146
97,150,82	177,164,96	32,60,144
92,145,75	178,165,95	32,60,143
93,145,71	175,165,93	31,60,140
90,150,64	214,200,137	43,75,150
92,150,65	215,203,143	42,72,145
95,153,66	214,202,144	41,69,142
51,115,28	208,199,120	44,68,138
51,113,28	210,201,124	42,65,133
86,146,60	214,205,128	80,109,167
87,147,59	208,199,122	82,112,172
